1,2011-04-01 00:00:00,リニューアル
2,2011-04-02 00:00:00,漫画を追加\
・北斗の拳\
・naruto
3,2011-04-03 00:00:00,bookの詳細情報表示機能を追加
4,2011-04-04 00:00:00,機能追加\
・アップロード機能\
・全文検索機能（技術本のみ）
5,2011-04-05 00:00:00,認証機能を追加
6,2011-04-06 00:00:00,music、movie機能を停止
7,2011-05-17 10:51:41,漫画を追加\
・one piece\
・エヴァンゲリオン（9巻、10巻はまだない）\
・鋼の錬金術師\
・バガボンド\
・ドラゴンボール
8,2011-05-20 11:02:47,技術本のサムネイルのみ一部追加\
（電子書籍は裁断中）
9,2011-05-22 23:52:11,ワンピース28巻 追加
10,2011-08-30 00:19:04,zsh最強シェルを追加
11,2011-09-07 06:56:38,初めてのPHP5を追加
12,2011-09-18 03:25:30,・ワンピース 63巻追加\
・ナルト 55、56巻追加\
・ハンターxハンター 1~27巻追加
13,2011-09-20 00:15:01,技術本 30冊追加
14,2011-09-20 02:41:07,エンジェルハート 全32巻を追加
15,2011-09-23 17:03:33,サイトをプチリニューアル中なんで\
突然エラー画面になるかも・・・
16,2013-07-27 08:57:44,Book Serverをリニューアルしました
17,2013-07-27 15:00:00,・ハンターxハンター 31\, 32巻\
・ZETMAN 17\, 18巻\
・コーディングを支える技術\
・開発ツール 徹底攻略\
・2013.74 Web+DB Press\
を追加
18,2013-08-16 15:00:00,・ワンピース 71巻\
・進撃の巨人 11巻\
を追加
19,2015-09-19 15:00:00,・NARUTO 66〜72巻 追加\
・NARUTO 外伝 追加\
・ONE PIECE 73〜78巻追加\
・進撃の巨人 12〜17巻追加\
・エヴァンゲリオン14巻 追加\

